"ORI","year","department_name","total_pop","homs_sum","rape_sum","rob_sum","agg_ass_sum","violent_crime","months_reported","violent_per_100k","homs_per_100k","rape_per_100k","rob_per_100k","agg_ass_per_100k","source","url"
"NM00101",1975,"Albuquerque, N.M.",286238,30,181,819,1353,2383,12,832.523983538174,10.4807887142867,63.2340919095298,286.125531900027,472.683571014331,NA,NA
"TX22001",1975,"Arlington, Texas",112478,5,28,113,132,278,12,247.159444513594,4.44531375024449,24.8937570013692,100.464090755526,117.356283006455,NA,NA
"GAAPD00",1975,"Atlanta",490584,185,443,3887,3518,8033,12,1637.43619848996,37.7101576896108,90.3005397648517,792.320988862254,717.104512173247,NA,NA
"CO00101",1975,"Aurora, Colo.",116656,7,44,171,389,611,12,523.76217254149,6.00054862158826,37.7177341928405,146.584830613085,333.459059113976,NA,NA
"TX22701",1975,"Austin, Texas",300400,33,190,529,463,1215,12,404.460719041278,10.9853528628495,63.2490013315579,176.098535286285,154.127829560586,NA,NA
"MDBPD00",1975,"Baltimore",864100,259,463,9055,6309,16086,12,1861.59009373915,29.9733827103345,53.5817613702118,1047.91112139799,730.123828260618,NA,NA
"MD00301",1975,"Baltimore County, Md.",642154,25,137,750,347,1259,12,196.058889300697,3.89314712670169,21.3344462543253,116.794413801051,54.0368821186195,NA,NA
"MA01301",1975,"Boston",616120,119,453,7778,3036,11386,12,1848.01662013893,19.3144192689736,73.5246380575213,1262.4164123872,492.761150425242,NA,NA
"NY01401",1975,"Buffalo, N.Y.",422276,63,192,2340,755,3350,12,793.320008714679,14.919152402694,45.4678930367816,554.139946385776,178.793016889428,NA,NA
"NC06001",1975,"Charlotte-Mecklenburg, N.C.",262103,68,71,822,976,1937,12,739.022445374528,25.9439991148518,27.0885873110953,313.617165770708,372.372693177873,NA,NA
"ILCPD00",1975,"Chicago",3150000,818,1657,22171,12514,37160,12,1179.68253968254,25.968253968254,52.6031746031746,703.84126984127,397.269841269841,NA,NA
"OHCIP00",1975,"Cincinnati",433367,64,261,1745,1508,3578,12,825.628162735049,14.768083402751,60.226090126844,402.661024028133,347.972965177321,NA,NA
"OHCLP00",1975,"Cleveland",659931,288,491,7100,2524,10403,12,1576.3769242542,43.6409260968192,74.4017177553411,1075.87005308131,382.464227320735,NA,NA
"OHCOP00",1975,"Columbus, Ohio",572797,62,416,2402,1100,3980,12,694.836041389882,10.8240790367268,72.6260786980379,419.34577171319,192.040111941927,NA,NA
"TXDPD00",1975,"Dallas",864665,237,547,3386,3485,7655,12,885.31396552422,27.4094591547015,63.2614943359567,391.596745560419,403.046266473143,NA,NA
"CODPD00",1975,"Denver",508140,74,480,2568,1838,4960,12,976.108946353367,14.5629157318849,94.462156098713,505.372535128114,361.711339394655,NA,NA
"MI82349",1975,"Detroit",1432444,633,1424,21317,7013,30387,12,2121.33947295671,44.1902091809523,99.4105179678926,1488.15590696739,489.582838840471,NA,NA
"TX07102",1975,"El Paso, Texas",369000,21,122,840,635,1618,12,438.482384823848,5.69105691056911,33.0623306233062,227.642276422764,172.086720867209,NA,NA
"VA02901",1975,"Fairfax County, Va.",487905,21,104,433,247,805,12,164.991135569424,4.30411658007194,21.3156249679753,88.7467847224357,50.6246092989414,NA,NA
"TX22012",1975,"Fort Worth, Texas",381275,69,169,1207,494,1939,12,508.556815946495,18.0971739558062,44.3249622975543,316.569405284899,129.565274408236,NA,NA
"CA01005",1975,"Fresno, Calif.",176500,25,84,567,465,1141,12,646.458923512748,14.1643059490085,47.5920679886686,321.246458923513,263.456090651558,NA,NA
"HI00200",1975,"Honolulu",705262,58,169,1050,319,1596,12,226.29887899816,8.22389409893061,23.962725908953,148.880841446158,45.2314175441184,NA,NA
"TXHPD00",1975,"Houston",1372342,347,588,6422,1567,8924,12,650.275222940054,25.2852423084042,42.8464624707252,467.959153039111,114.184365121814,NA,NA
"INIPD00",1975,"Indianapolis",503411,95,351,3092,1117,4655,12,924.691752861976,18.8712602624893,69.7243405487762,614.20986033281,221.8862917179,NA,NA
"FL01602",1975,"Jacksonville, Fla.",542792,91,316,1727,2445,4579,12,843.601232147858,16.7651697151027,58.2175124172796,318.169759318487,450.448790696989,NA,NA
"MOKPD00",1975,"Kansas City, Mo.",489094,114,302,3081,2575,6072,12,1241.47914306861,23.3084028836992,61.7468216743612,629.940256883135,526.483661627417,NA,NA
"NV00201",1975,"Las Vegas",249186,37,169,1345,1043,2594,12,1040.98946168725,14.8483462152769,67.8208246049136,539.75745025804,418.562840609023,NA,NA
"CA01941",1975,"Long Beach, Calif.",340758,54,169,1959,1007,3189,12,935.854770834434,15.8470234007712,49.5953139764877,574.894793372423,295.517640084752,NA,NA
"CA01942",1975,"Los Angeles",2729878,554,1768,14590,13493,30405,12,1113.78603732474,20.2939472020361,64.7647990129962,534.456118551818,494.271172557895,NA,NA
"CA01900",1975,"Los Angeles County, Calif.",1022888,138,471,3055,6128,9792,12,957.289556627901,13.4912131142412,46.0460969333886,298.664174376862,599.088072203408,NA,NA
"KY05680",1975,"Louisville, Ky.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TNMPD00",1975,"Memphis, Tenn.",646483,120,521,2983,1805,5429,12,839.774595774367,18.5619730139849,80.5898995023844,461.419712505975,279.203010752023,NA,NA
"AZ00717",1975,"Mesa, Ariz.",113176,2,22,98,145,267,12,235.915741853396,1.76715911500672,19.4387502650739,86.590796635329,128.119035837987,NA,NA
"FL01306",1975,"Miami",350742,98,178,2657,3280,6213,12,1771.38751560976,27.9407655769768,50.7495538030803,757.536878959463,935.160317270244,NA,NA
"FL01300",1975,"Miami-Dade County, Fla.",619795,94,174,2426,4008,6702,11,1081.32527690607,15.1663049879396,28.0737985946966,391.419743624908,646.665429698529,NA,NA
"WIMPD00",1975,"Milwaukee",674369,70,146,1968,1020,3204,12,475.110807287998,10.3800738171535,21.6498682472059,291.82836103083,151.252504192808,NA,NA
"MN02711",1975,"Minneapolis",405378,47,307,1838,1134,3326,12,820.468797024012,11.594117095649,75.7317861354094,453.403983442614,279.73891035034,NA,NA
"MD01604",1975,"Montgomery County, Md.",496092,19,84,578,286,967,12,194.923522249905,3.8299347701636,16.9323431944075,116.510647218661,57.6505970666731,NA,NA
"TN01901",1975,"Nashville, Tenn.",449600,93,110,2003,952,3158,12,702.402135231317,20.6850533807829,24.4661921708185,445.507117437722,211.743772241993,NA,NA
"NY02900",1975,"Nassau County, N.Y.",1100426,18,33,686,256,993,12,90.2377806413153,1.63573016268245,2.9988386315845,62.3394939777868,23.2637178692615,NA,NA
NA,1975,"National",NA,20510,NA,NA,NA,1039710,NA,487.8,9.6,NA,NA,NA,NA,NA
"LANPD00",1975,"New Orleans",571934,158,237,3596,2002,5993,12,1047.84817828631,27.6255651875916,41.4383477813874,628.743876041641,350.040389275686,NA,NA
"NY03030",1975,"New York City",7422506,1645,3866,83190,43481,132182,12,1780.82712226841,22.1623263086618,52.0848349600526,1120.78050189518,585.799459104513,NA,NA
"NJNPD00",1975,"Newark, N.J.",372663,122,297,4273,2444,7136,12,1914.86678312577,32.7373525142018,79.6966696452291,1146.61235486217,655.820406104174,NA,NA
"CA00109",1975,"Oakland, Calif.",337748,111,316,3185,2288,5900,12,1746.86452621481,32.864739391499,93.5608797091323,943.010765422741,677.428141691439,NA,NA
"OK05506",1975,"Oklahoma City",384081,61,249,992,1364,2666,12,694.124416464235,15.8820665432552,64.8300749060745,258.278852637855,355.133422377051,NA,NA
"NB02802",1975,"Omaha, Neb.",391389,36,178,1211,1115,2540,12,648.970717112642,9.19801016380123,45.4790502543505,309.41084189898,284.88281479551,NA,NA
"FL04804",1975,"Orlando, Fla.",118457,21,86,304,705,1116,12,942.114016056459,17.7279519150409,72.6001840330246,256.633208674878,595.152671433516,NA,NA
"PAPEP00",1975,"Philadelphia",1883253,435,716,10405,4776,16332,12,867.222831982745,23.09833038896,38.0193208241272,552.501442981904,253.603737787753,NA,NA
"AZ00723",1975,"Phoenix",668046,75,311,1938,2325,4649,12,695.91016187508,11.2267718091269,46.5536804351796,290.099783547839,348.029926082934,NA,NA
"PAPPD00",1975,"Pittsburgh",479083,63,237,2744,1923,4967,12,1036.77233381272,13.1501222126437,49.4695073713741,572.76087859515,401.391825633554,NA,NA
"OR02602",1975,"Portland, Ore.",373126,48,287,1843,1898,4076,12,1092.39238219797,12.8642871308888,76.917716803439,493.93502462975,508.675353633893,NA,NA
"MD01721",1975,"Prince George's County, Md.",569452,46,261,2147,1693,4147,12,728.243995982102,8.07794159999438,45.8335382086638,377.029143808433,297.303372365011,NA,NA
"NC09201",1975,"Raleigh, N.C.",149940,17,20,221,463,721,12,480.859010270775,11.3378684807256,13.3386688008537,147.392290249433,308.790182739763,NA,NA
"CA03404",1975,"Sacramento, Calif.",262994,42,155,1128,1087,2412,12,917.131189304699,15.9699460824201,58.93670578036,428.907123356426,413.317414085492,NA,NA
"UT01803",1975,"Salt Lake City",180000,11,99,582,378,1070,12,594.444444444444,6.11111111111111,55,323.333333333333,210,NA,NA
"TXSPD00",1975,"San Antonio",768814,131,275,1730,2086,4222,12,549.157533551678,17.0392318558195,35.7693798500027,225.021916874563,271.327004971293,NA,NA
"CA03711",1975,"San Diego",768713,64,229,2199,1367,3859,12,502.007901518512,8.32560396402819,29.7900516837884,286.062548701531,177.829697169165,NA,NA
"CA03801",1975,"San Francisco",669977,138,547,5687,2765,9137,12,1363.77815954876,20.5977220113526,81.6445937696369,848.835109264945,412.700734502826,NA,NA
